"seller_agent_id";"years_of_experience";"licence_number";"sold_listings";"client_testimonials"
104;7;1112233445;"Sold Property X, Y";"Efficient process"
108;6;2223344556;"Sold Property Z";"Very satisfied"
113;4;3334455667;"Sold Property W";"Quick turnaround"
118;12;4445566778;"Sold Property V";"Smooth transaction"
124;1;5556677889;"Sold Property U";"Beginner but effective"
128;8;6667788990;"Sold Property T, S";"Professional handling"
134;5;7778899001;"Sold Property R";"Quick sale"
138;10;8889900112;"Sold Property Q, P";"Outstanding negotiation"
144;9;9990011223;"Sold Property O, N";"Reliable agent"
148;2;1234567890;"Sold Property M";"Trusted advisor"
154;7;9876543210;"Sold Property L";"Client-first approach"
158;6;9123456787;"Sold Property K, J";"Punctual and efficient"
164;11;9988776653;"Sold Property H, G";"Smooth transactions"
168;8;9988709873;"Sold Property F";"Experienced agent"
174;3;9988709874;"Sold Property E, D";"Excellent service"
178;5;9123498767;"Sold Property C";"Highly recommended"
184;9;9765432109;"Sold Property B, A";"Reliable service"
188;4;9988776655;"Sold Property Z, Y";"Efficient and trustworthy"
194;2;9876123459;"Sold Property X, W";"Focused and detailed"
198;10;9123498765;"Sold Property V";"Top-rated seller agent"
